learning_rate,n_epochs,accuracy,batch_size,test_samples,optimizer:gradient_descent,optimizer:adadelta,optimizer:adam,train_samples,time
0.01,10,0.8557,512,10000,True,False,False,55000,2.3620502948760986
0.01,10,0.7274,512,10000,False,True,False,55000,2.3875036239624023
0.01,10,0.8633,512,10000,False,False,True,55000,2.3075976371765137
0.01,50,0.8699,512,10000,True,False,False,55000,9.59281301498413
0.01,50,0.8354,512,10000,False,True,False,55000,9.839993000030518
0.01,50,0.8597,512,10000,False,False,True,55000,10.001680135726929
0.01,100,0.8703,512,10000,True,False,False,55000,18.53532385826111
0.01,100,0.8496,512,10000,False,True,False,55000,18.879379272460938
0.01,100,0.8572,512,10000,False,False,True,55000,19.43538522720337
0.01,10,0.7074,2048,10000,True,False,False,55000,1.5451929569244385
0.01,10,0.308,2048,10000,False,True,False,55000,1.573110580444336
0.01,10,0.7332,2048,10000,False,False,True,55000,1.5860142707824707
0.01,50,0.7224,2048,10000,True,False,False,55000,6.586811542510986
0.01,50,0.6648,2048,10000,False,True,False,55000,6.650977849960327
0.01,50,0.7312,2048,10000,False,False,True,55000,6.771644115447998
0.01,100,0.7275,2048,10000,True,False,False,55000,12.964476823806763
0.01,100,0.6867,2048,10000,False,True,False,55000,13.024020671844482
0.01,100,0.7303,2048,10000,False,False,True,55000,13.137383937835693
0.01,10,0.6938,4096,10000,True,False,False,55000,1.383474588394165
0.01,10,0.146,4096,10000,False,True,False,55000,1.387892246246338
0.01,10,0.7333,4096,10000,False,False,True,55000,1.4007339477539062
0.01,50,0.7156,4096,10000,True,False,False,55000,5.876398324966431
0.01,50,0.5667,4096,10000,False,True,False,55000,5.896735668182373
0.01,50,0.7317,4096,10000,False,False,True,55000,5.925350666046143
0.01,100,0.7225,4096,10000,True,False,False,55000,11.487504720687866
0.01,100,0.6539,4096,10000,False,True,False,55000,11.506858348846436
0.01,100,0.7307,4096,10000,False,False,True,55000,11.473498106002808
0.1,10,0.8684,512,10000,True,False,False,55000,2.3011398315429688
0.1,10,0.8412,512,10000,False,True,False,55000,2.403942584991455
0.1,10,0.8319,512,10000,False,False,True,55000,2.3082692623138428
0.1,50,0.8726,512,10000,True,False,False,55000,9.467273235321045
0.1,50,0.867,512,10000,False,True,False,55000,9.636334657669067
0.1,50,0.8266,512,10000,False,False,True,55000,9.934078454971313
0.1,100,0.8719,512,10000,True,False,False,55000,19.064228773117065
0.1,100,0.8698,512,10000,False,True,False,55000,19.142271041870117
0.1,100,0.8336,512,10000,False,False,True,55000,19.32570719718933
0.1,10,0.7272,2048,10000,True,False,False,55000,1.561708927154541
0.1,10,0.6764,2048,10000,False,True,False,55000,1.60880446434021
0.1,10,0.6718,2048,10000,False,False,True,55000,1.6023375988006592
0.1,50,0.7329,2048,10000,True,False,False,55000,6.7271435260772705
0.1,50,0.7171,2048,10000,False,True,False,55000,6.691326379776001
0.1,50,0.7133,2048,10000,False,False,True,55000,6.672136068344116
0.1,100,0.7339,2048,10000,True,False,False,55000,12.920445680618286
0.1,100,0.727,2048,10000,False,True,False,55000,13.051508903503418
0.1,100,0.6874,2048,10000,False,False,True,55000,13.10904836654663
0.1,10,0.7216,4096,10000,True,False,False,55000,1.3838200569152832
0.1,10,0.6419,4096,10000,False,True,False,55000,1.3883519172668457
0.1,10,0.6983,4096,10000,False,False,True,55000,1.4011595249176025
0.1,50,0.7322,4096,10000,True,False,False,55000,5.8316028118133545
0.1,50,0.7002,4096,10000,False,True,False,55000,5.929983615875244
0.1,50,0.681,4096,10000,False,False,True,55000,5.847471475601196
0.1,100,0.7339,4096,10000,True,False,False,55000,11.423985004425049
0.1,100,0.7191,4096,10000,False,True,False,55000,11.439028024673462
0.1,100,0.5952,4096,10000,False,False,True,55000,11.528560638427734
1,10,0.8339,512,10000,True,False,False,55000,2.2209603786468506
